regime_id,regime_start,regime_end,episode_start,episode_end,max_drawdown_pct,peak_at_start,ended_by
0,2019-04-02,2019-08-13,2019-04-03,2019-04-05,3.60401760865606,163.9617462158203,new_peak
0,2019-04-02,2019-08-13,2019-04-09,2019-05-11,14.312433243418809,180.25881958007812,new_peak
0,2019-04-02,2019-08-13,2019-05-12,2019-05-13,3.5917979439024674,194.30433654785156,new_peak
0,2019-04-02,2019-08-13,2019-05-17,2019-05-26,11.141539553443039,264.010009765625,new_peak
0,2019-04-02,2019-08-13,2019-05-28,2019-06-17,14.577275909185417,272.8626403808594,new_peak
0,2019-04-02,2019-08-13,2019-06-18,2019-06-21,3.3895454439780837,274.3511047363281,new_peak
0,2019-04-02,2019-08-13,2019-06-23,2019-06-24,0.501816276433071,309.38031005859375,new_peak
0,2019-04-02,2019-08-13,2019-06-27,2019-08-13,40.850245697039384,336.753173828125,regime_end
3,2020-01-30,2020-03-11,2020-01-31,2020-02-02,2.452916937757536,184.6904754638672,new_peak
3,2020-01-30,2020-03-11,2020-02-04,2020-02-05,0.3236358571813527,189.8650665283203,new_peak
3,2020-01-30,2020-03-11,2020-02-10,2020-02-11,2.211870728715548,228.5785675048828,new_peak
3,2020-01-30,2020-03-11,2020-02-15,2020-03-11,31.43682879823013,284.2174987792969,regime_end
5,2020-04-21,2021-06-21,2020-04-27,2020-04-28,0.04704052971209154,197.31753540039062,new_peak
5,2020-04-21,2021-06-21,2020-04-30,2020-05-28,14.3133348289605,216.96823120117188,new_peak
5,2020-04-21,2021-06-21,2020-05-31,2020-06-01,4.691600952780258,242.34559631347656,new_peak
5,2020-04-21,2021-06-21,2020-06-02,2020-06-10,3.956692752858925,246.99176025390625,new_peak
5,2020-04-21,2021-06-21,2020-06-11,2020-07-22,9.895192270218725,247.4449462890625,new_peak
5,2020-04-21,2021-06-21,2020-07-28,2020-07-30,1.510615569983562,321.51409912109375,new_peak
5,2020-04-21,2021-06-21,2020-08-02,2020-08-03,3.7715461237258983,385.19970703125,new_peak
5,2020-04-21,2021-06-21,2020-08-06,2020-08-13,5.497571303076451,401.590576171875,new_peak
5,2020-04-21,2021-06-21,2020-08-15,2020-09-01,12.520683541329266,437.3978271484375,new_peak
5,2020-04-21,2021-06-21,2020-09-02,2020-11-17,32.687345865417285,477.0519104003906,new_peak
5,2020-04-21,2021-06-21,2020-11-18,2020-11-20,1.8173127191687601,480.3600769042969,new_peak
5,2020-04-21,2021-06-21,2020-11-24,2020-11-30,14.949416240148999,608.4540405273438,new_peak
5,2020-04-21,2021-06-21,2020-12-01,2020-12-03,4.4756779615588504,614.842529296875,new_peak
5,2020-04-21,2021-06-21,2020-12-04,2020-12-16,11.498357705482775,616.708740234375,new_peak
5,2020-04-21,2021-06-21,2020-12-20,2020-12-27,11.464212390796206,659.2979125976562,new_peak
5,2020-04-21,2021-06-21,2020-12-31,2021-01-02,2.827417216660813,751.6189575195312,new_peak
5,2020-04-21,2021-06-21,2021-01-08,2021-01-09,0.12082756724967395,1225.6781005859375,new_peak
5,2020-04-21,2021-06-21,2021-01-10,2021-01-19,18.55022375825247,1281.0772705078125,new_peak
5,2020-04-21,2021-06-21,2021-01-21,2021-01-24,18.860451399286923,1382.2740478515625,new_peak
5,2020-04-21,2021-06-21,2021-01-25,2021-02-02,9.946917841864748,1391.609375,new_peak
5,2020-04-21,2021-06-21,2021-02-04,2021-02-05,3.982567909810923,1660.9095458984375,new_peak
5,2020-04-21,2021-06-21,2021-02-06,2021-02-08,6.07587596671058,1718.65087890625,new_peak
5,2020-04-21,2021-06-21,2021-02-10,2021-02-11,1.3456535372106506,1768.0350341796875,new_peak
5,2020-04-21,2021-06-21,2021-02-13,2021-02-17,3.4575779890359155,1843.5325927734375,new_peak
5,2020-04-21,2021-06-21,2021-02-20,2021-04-01,27.758678562954653,1960.164794921875,new_peak
5,2020-04-21,2021-06-21,2021-04-03,2021-04-11,8.03220699487803,2143.2255859375,new_peak
5,2020-04-21,2021-06-21,2021-04-12,2021-04-13,0.8483142170705414,2157.656982421875,new_peak
5,2020-04-21,2021-06-21,2021-04-16,2021-04-26,14.009972573001367,2519.1162109375,new_peak
5,2020-04-21,2021-06-21,2021-05-04,2021-05-05,5.172029430765315,3431.086181640625,new_peak
5,2020-04-21,2021-06-21,2021-05-06,2021-05-08,1.0802310850407366,3522.783203125,new_peak
5,2020-04-21,2021-06-21,2021-05-12,2021-06-21,54.69937920937043,4168.701171875,regime_end
8,2021-07-23,2022-01-06,2021-07-28,2021-07-29,0.07779923760146353,2298.33349609375,new_peak
8,2021-07-23,2022-01-06,2021-08-03,2021-08-04,4.130167760589376,2610.1533203125,new_peak
8,2021-07-23,2022-01-06,2021-08-08,2021-08-09,4.5453041087839905,3157.23876953125,new_peak
8,2021-07-23,2022-01-06,2021-08-10,2021-08-13,3.928268413358397,3167.856201171875,new_peak
8,2021-07-23,2022-01-06,2021-08-14,2021-08-31,9.251840436268107,3322.211669921875,new_peak
8,2021-07-23,2022-01-06,2021-09-02,2021-09-03,1.1431577462321079,3834.828125,new_peak
8,2021-07-23,2022-01-06,2021-09-04,2021-09-05,1.3395467548673985,3940.61474609375,new_peak
8,2021-07-23,2022-01-06,2021-09-06,2021-10-20,30.052182677486,3952.133544921875,new_peak
8,2021-07-23,2022-01-06,2021-10-21,2021-10-23,4.470901155522805,4155.9921875,new_peak
8,2021-07-23,2022-01-06,2021-10-24,2021-10-25,2.0078440304851592,4171.66357421875,new_peak
8,2021-07-23,2022-01-06,2021-10-26,2021-10-28,6.819061629883591,4217.876953125,new_peak
8,2021-07-23,2022-01-06,2021-10-30,2021-11-02,2.8693008970623026,4414.74658203125,new_peak
8,2021-07-23,2022-01-06,2021-11-04,2021-11-07,2.6252570999433735,4607.19384765625,new_peak
8,2021-07-23,2022-01-06,2021-11-09,2022-01-06,28.962050825177283,4812.08740234375,regime_end
10,2023-01-12,2023-08-16,2023-01-17,2023-01-20,3.8892209125351656,1576.83349609375,new_peak
10,2023-01-12,2023-08-16,2023-01-21,2023-02-03,6.214769959724068,1659.754150390625,new_peak
10,2023-01-12,2023-08-16,2023-02-05,2023-02-07,3.0480101524916727,1667.0592041015625,new_peak
10,2023-01-12,2023-08-16,2023-02-08,2023-02-15,9.858690040843092,1672.0035400390625,new_peak
10,2023-01-12,2023-08-16,2023-02-16,2023-02-17,2.0121538929091254,1673.7459716796875,new_peak
10,2023-01-12,2023-08-16,2023-02-18,2023-02-20,0.7875442111286898,1694.7833251953125,new_peak
10,2023-01-12,2023-08-16,2023-02-21,2023-03-14,16.06396184772139,1702.6751708984375,new_peak
10,2023-01-12,2023-08-16,2023-03-15,2023-03-17,2.7781826468116027,1703.507080078125,new_peak
10,2023-01-12,2023-08-16,2023-03-18,2023-03-21,3.1890819132993258,1792.485107421875,new_peak
10,2023-01-12,2023-08-16,2023-03-22,2023-03-23,3.8214080901648164,1806.7607421875,new_peak
10,2023-01-12,2023-08-16,2023-03-24,2023-03-31,5.557368952709716,1816.4051513671875,new_peak
10,2023-01-12,2023-08-16,2023-04-01,2023-04-04,1.4442176590454043,1822.0220947265625,new_peak
10,2023-01-12,2023-08-16,2023-04-06,2023-04-10,3.1226969316463697,1909.114013671875,new_peak
10,2023-01-12,2023-08-16,2023-04-11,2023-04-12,0.9950684094362178,1911.20751953125,new_peak
10,2023-01-12,2023-08-16,2023-04-15,2023-04-16,0.4362650507376661,2101.635498046875,new_peak
